date,Australia,Belgium,Cambodia,Canada,Finland,France,Germany,Hong Kong,India,Italy,Japan,Macau,Mainland China,Malaysia,Nepal,Others,Philippines,Russia,Singapore,South Korea,Spain,Sri Lanka,Sweden,Taiwan,Thailand,UK,United Arab Emirates,US,Vietnam
Jan 21,0,0,0,0,0,0,0,0,0,0,1,0,325,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
Jan 22,0,0,0,0,0,0,0,0,0,0,2,1,547,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
Jan 23,0,0,0,0,0,0,0,2,0,0,2,2,639,0,0,0,0,0,1,1,0,0,0,1,3,0,0,1,2
Jan 24,0,0,0,0,0,2,0,4,0,0,4,4,1781,0,0,0,0,0,4,3,0,0,0,4,9,0,0,3,4
Jan 25,0,0,0,0,0,9,0,15,0,0,6,6,4698,9,3,0,0,0,9,6,0,0,0,9,19,0,0,6,6
Jan 26,8,0,0,2,0,6,0,16,0,0,8,11,4799,8,2,0,0,0,8,6,0,0,0,8,16,0,0,10,4
Jan 27,15,0,3,3,0,9,1,24,0,0,12,18,10097,12,3,0,0,0,14,12,0,2,0,15,24,0,0,15,6
Jan 28,15,0,3,6,0,11,9,24,0,0,21,21,16074,15,3,0,0,0,21,12,0,3,0,24,42,0,0,15,6
Jan 29,17,0,3,6,3,14,12,30,1,0,25,21,19818,21,3,0,0,0,24,12,0,3,0,24,42,0,12,15,6
Jan 30,9,0,1,2,1,5,4,10,1,0,11,7,8124,8,1,0,1,0,10,4,0,1,0,9,14,0,4,5,2
Jan 31,9,0,1,4,1,5,5,12,1,2,15,7,9783,8,1,0,1,2,13,11,0,1,1,10,19,2,4,7,2
Feb 1,12,0,1,4,1,6,7,13,1,2,17,7,11860,8,1,0,1,2,18,12,1,1,1,10,19,2,4,7,6
Feb 2,12,0,1,4,1,6,10,15,2,2,20,8,17114,8,1,0,2,2,18,15,1,1,1,10,19,2,5,8,6
Feb 3,12,0,1,4,1,6,10,15,2,2,20,8,20014,8,1,0,2,2,18,15,1,1,1,10,19,2,5,10,8
Feb 4,25,0,2,8,2,12,24,33,6,4,42,18,44690,18,2,0,4,4,42,31,2,2,2,21,44,4,10,22,16
Feb 5,27,0,2,9,2,12,24,42,6,4,67,20,52408,22,2,0,4,4,52,39,2,2,2,22,50,4,10,22,18
Feb 6,28,0,2,10,2,12,24,45,6,4,90,20,56173,24,2,0,4,4,56,46,2,2,2,29,50,4,10,22,20
Feb 7,30,0,2,14,2,12,26,51,6,6,50,20,65784,24,2,0,6,4,60,60,2,2,2,32,50,6,10,22,20
Feb 8,30,0,2,14,2,22,26,52,6,6,50,20,71818,32,2,0,6,4,73,49,2,2,2,34,64,6,14,22,26
Feb 9,30,0,2,14,2,22,28,65,6,6,52,20,77392,34,2,0,6,4,83,52,3,2,2,36,64,6,14,22,27